["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9736336818333331e+014 5.2640570410944292e-004 4.2923737955689283e+001
1.9748828170750000e+014 5.8501473354210609e-004 4.3485038930416508e+001
1.9761319523166666e+014 6.4481285706053726e-004 4.4015603401209475e+001
1.9773810875583331e+014 7.0192405782333817e-004 4.4522228340533118e+001
1.9786302228000000e+014 7.5349764798010902e-004 4.5010154116528867e+001
1.9798793580416666e+014 7.9748050291584605e-004 4.5483095862763022e+001
1.9811284932833331e+014 8.3245993769198517e-004 4.5943554110876860e+001
1.9823776285250000e+014 8.5756740809171564e-004 4.6393111550539601e+001
1.9836267637666666e+014 8.7242282693065685e-004 4.6832652586897112e+001
1.9848758990083331e+014 8.7710417918233658e-004 4.7262511409332191e+001
1.9861250342500000e+014 8.7213271994063734e-004 4.7682569617420619e+001
1.9873741694916666e+014 8.5846818625959654e-004 4.8092324099962283e+001
1.9886233047333331e+014 8.3750347322406125e-004 4.8490961692921744e+001
1.9898724399750000e+014 8.1106440066245819e-004 4.8877453613751427e+001
1.9911215752166666e+014 7.8138658878757785e-004 4.9250728458745584e+001
1.9923707104583331e+014 7.5105547346427954e-004 4.9609968799100407e+001
1.9936198457000000e+014 7.2287385840867310e-004 4.9955065602888190e+001
1.9948689809416666e+014 6.9961912588052211e-004 5.0287185822878463e+001
1.9961181161833331e+014 6.8367629781084156e-004 5.0609251439559841e+001
1.9973672514250000e+014 6.7660297782624901e-004 5.0925979246583964e+001
1.9986163866666666e+014 6.7877298244861802e-004 5.1243213699650354e+001
("port 1","mode 1",1,"port 3",1,"transmission")
(101, 3)
1.8737028625000000e+014 9.8989354470773738e-001 -2.6690257268333037e+000
1.8749519977416666e+014 9.8998814194469387e-001 -2.4423284743491589e+000
1.8762011329833334e+014 9.9008119382485726e-001 -2.2156483131805205e+000
1.8774502682250000e+014 9.9017278283833532e-001 -1.9889853245679001e+000
1.8786994034666666e+014 9.9026299114318461e-001 -1.7623395798126444e+000
1.8799485387083334e+014 9.9035189901879939e-001 -1.5357111416396247e+000
1.8811976739500000e+014 9.9043958393952147e-001 -1.3091000658312433e+000
1.8824468091916666e+014 9.9052612030909504e-001 -1.0825064029071687e+000
1.8836959444333334e+014 9.9061157982067050e-001 -8.5593019962450656e-001
1.8849450796750000e+014 9.9069603233568893e-001 -6.2937150009900122e-001
1.8861942149166666e+014 9.9077954711560123e-001 -4.0283034639478354e-001
1.8874433501583334e+014 9.9086213562446512e-001 -1.7630675067762833e-001
1.8886924854000000e+014 9.9094392936555864e-001 5.0199221492685839e-002
1.8899416206416666e+014 9.9102500358873780e-001 2.7668753683053732e-001
1.8911907558833334e+014 9.9110543711741483e-001 5.0315816771440935e-001
1.8924398911250000e+014 9.9118531224756357e-001 7.2961109411425895e-001
1.8936890263666666e+014 9.9126471396126992e-001 9.5604630554943393e-001
1.8949381616083334e+014 9.9134372846135821e-001 1.1824638028427295e+000
1.8961872968500000e+014 9.9142244110939426e-001 1.4088635994491567e+000
1.8974364320916666e+014 9.9150093391619010e-001 1.6352457221745831e+000
1.8986855673333334e+014 9.9157928278636764e-001 1.8616102111566304e+000
1.8999347025750000e+014 9.9165750338053360e-001 2.0879571429005712e+000
1.9011838378166666e+014 9.9173570341450012e-001 2.3142865565647335e+000
1.9024329730583334e+014 9.9181392495235055e-001 2.5405985243868510e+000
1.9036821083000000e+014 9.9189219509530868e-001 2.7668931244819577e+000
1.9049312435416666e+014 9.9197052528186336e-001 2.9931704377511297e+000
1.9061803787833334e+014 9.9204891139529139e-001 3.2194305447224347e+000
1.9074295140250000e+014 9.9212733465403935e-001 3.4456735225658797e+000
1.9086786492666666e+014 9.9220576318746279e-001 3.6718994425047167e+000
1.9099277845083334e+014 9.9228415413688231e-001 3.8981083677980961e+000
1.9111769197500000e+014 9.9236245607667040e-001 4.1243003524133854e+000
1.9124260549916666e+014 9.9244056593630559e-001 4.3504754605516869e+000
1.9136751902333334e+014 9.9251846872408700e-001 4.5766337059758406e+000
1.9149243254750000e+014 9.9259610165538559e-001 4.8027751139731532e+000
1.9161734607166666e+014 9.9267340185755315e-001 5.0288997019168047e+000
1.9174225959583334e+014 9.9275030732516756e-001 5.2550074806543066e+000
1.9186717312000000e+014 9.9282675726315228e-001 5.4810984559214315e+000
1.9199208664416666e+014 9.9290269186670388e-001 5.7071726295721179e+000
1.9211700016833334e+014 9.9297805165288577e-001 5.9332300004431406e+000
1.9224191369250000e+014 9.9305277651102464e-001 6.1592705647264587e+000
1.9236682721666666e+014 9.9312680467210501e-001 6.3852943157845710e+000
1.9249174074083334e+014 9.9320003151158820e-001 6.6113012613696300e+000
1.9261665426500000e+014 9.9327243050175240e-001 6.8372913684620062e+000
1.9274156778916666e+014 9.9334393097098261e-001 7.0632646157912236e+000
1.9286648131333334e+014 9.9341445952450558e-001 7.2892209740760228e+000
1.9299139483750000e+014 9.9348394117589622e-001 7.5151604044082756e+000
1.9311630836166666e+014 9.9355230107419645e-001 7.7410828569249093e+000
1.9324122188583331e+014 9.9361946672193013e-001 7.9669882699617292e+000
1.9336613541000000e+014 9.9368537051988581e-001 8.1928765698451524e+000
1.9349104893416666e+014 9.9374995243127551e-001 8.4187476714129641e+000
1.9361596245833331e+014 9.9381316253584795e-001 8.6446014792866332e+000
1.9374087598250000e+014 9.9387492822547618e-001 8.8704379066194790e+000
1.9386578950666666e+014 9.9393526158826950e-001 9.0962568271767505e+000
1.9399070303083331e+014 9.9399415403791669e-001 9.3220581288286315e+000
1.9411561655500000e+014 9.9405161219306504e-001 9.5478416997798483e+000
1.9424053007916666e+014 9.9410765728879635e-001 9.7736074316054928e+000
1.9436544360333331e+014 9.9416232384975045e-001 9.9993552219833113e+000
1.9449035712750000e+014 9.9421565775298215e-001 1.0225084976917548e+001
1.9461527065166666e+014 9.9426771386440582e-001 1.0450796612304384e+001
1.9474018417583331e+014 9.9431855346970754e-001 1.0676490054753327e+001
1.9486509770000000e+014 9.9436824173456795e-001 1.0902165241652089e+001
1.9499001122416666e+014 9.9441681483168587e-001 1.1127822135350241e+001
1.9511492474833331e+014 9.9446437026869450e-001 1.1353460677181243e+001
1.9523983827250000e+014 9.9451097300868985e-001 1.1579080831040242e+001
1.9536475179666666e+014 9.9455668589655311e-001 1.1804682566515183e+001
